Date,Close
Nov-01-2012,1714.10
Oct-31-2012,1717.50
Oct-30-2012,1710.50
Oct-29-2012,1707.70
Oct-26-2012,1710.90
Oct-25-2012,1712.00
Oct-24-2012,1700.50
Oct-23-2012,1708.30
Oct-22-2012,1725.10
Oct-19-2012,1722.80
Oct-18-2012,1743.30
Oct-17-2012,1751.50
Oct-16-2012,1744.70
Oct-15-2012,1736.00
Oct-12-2012,1758.00
Oct-11-2012,1768.80
Oct-10-2012,1763.20
Oct-09-2012,1763.00
Oct-08-2012,1773.50
Oct-05-2012,1778.60
Oct-04-2012,1794.10
Oct-03-2012,1777.30
Oct-02-2012,1772.70
Oct-01-2012,1780.50
Sep-28-2012,1771.10
Sep-27-2012,1777.60
Sep-26-2012,1750.60
Sep-25-2012,1763.80
Sep-24-2012,1762.10
Sep-21-2012,1775.50
Sep-20-2012,1767.70
Sep-19-2012,1769.00
Sep-18-2012,1768.40
Sep-17-2012,1767.70
Sep-14-2012,1769.80
Sep-13-2012,1769.10
Sep-12-2012,1730.60
Sep-11-2012,1731.80
Sep-10-2012,1728.70
Sep-07-2012,1737.50
Sep-06-2012,1702.60
Sep-05-2012,1690.80
Sep-04-2012,1692.90
Aug-31-2012,1684.60
Aug-30-2012,1653.50
Aug-29-2012,1659.80
Aug-28-2012,1666.50
Aug-27-2012,1672.40
Aug-24-2012,1669.80
Aug-23-2012,1669.60
Aug-22-2012,1637.40
Aug-21-2012,1639.90
Aug-20-2012,1620.10
Aug-17-2012,1616.30
Aug-16-2012,1616.10
Aug-15-2012,1603.70
Aug-14-2012,1599.40
Aug-13-2012,1609.60
Aug-10-2012,1619.70
Aug-09-2012,1617.10
Aug-08-2012,1612.90
Aug-07-2012,1609.70
Aug-06-2012,1612.90
Aug-03-2012,1606.00
Aug-02-2012,1587.40
Aug-01-2012,1603.70
Jul-31-2012,1610.50
Jul-30-2012,1619.70
Jul-27-2012,1617.90
Jul-26-2012,1615.00
Jul-25-2012,1608.00
Jul-24-2012,1576.00
Jul-23-2012,1577.10
Jul-20-2012,1582.50
Jul-19-2012,1580.10
Jul-18-2012,1570.40
Jul-17-2012,1589.10
Jul-16-2012,1591.20
Jul-13-2012,1591.60
Jul-12-2012,1564.90
Jul-11-2012,1575.20
Jul-10-2012,1579.30
Jul-09-2012,1588.60
Jul-06-2012,1578.40
Jul-05-2012,1608.90
Jul-03-2012,1621.30
Jul-02-2012,1597.20
Jun-29-2012,1603.50
Jun-28-2012,1549.70
Jun-27-2012,1577.50
Jun-26-2012,1574.00
Jun-25-2012,1587.50
Jun-22-2012,1566.00
Jun-21-2012,1564.50
Jun-20-2012,1614.80
Jun-19-2012,1622.20
Jun-18-2012,1625.70
Jun-15-2012,1627.00
